QB DVOA,QB,PRE W/L,TM,DAVE O,D,RUSH OFF,RUSH DEF,QB DVOA1,QB1,PRE W/L1,TM1,DAVE O,D1,RUSH OFF,PASS OFF,RUSH DEF,ATS,QBE,DIFDW1,DIFDW1O,ST,O DIFF,D DIFF,QBRUND,Eyds/GM,ID,12-6.5% MOVE,NET Yds/Drive,NET Pts/Drive,NET TOs/Drive,NET Avg. Lead,NET LOS/Drive,OFF TDs/Drive,OFF Stops/Drive,d3Outs/Drive,TTL Open O/U,TTL Close O/U,2nd HF SIDE,1st HF Margin,1st HF ATS Margin,INT/Drive,BOFF,BETTER SP,AVG TT,AVG CAY,AVG IAY,AVG AYD,AVG AGG,AYTS,AVG ATT,AVG YDS,AVG TD,AVG INT,AVG RATE,AVGCOMP,AVG xCOMP,AVG YPP,AVG xYPP,AVG xYards,AVG YPP +/-,TEAM,closeline,push
0.221,63.6,L,-0.038,-0.01,-0.008,0.186,0.023,0.033,72.9,L,0.113,0.033,-0.068,0.13,-0.129,0.07,0,0,0.055,0.028,-0.038,-0.001,0.076,0,-9,20167CHI7.5GB1026,0,2.875,-0.640625,0.015625,-1.8359375,-5.328125,0.15625,0.515625,0.3125,1,1,0,-3,4.5,0.03125,0,0,2.483050847,5.767231638,8.002259887,-2.235028249,21.4920904,-1.321468927,44.25,329.5,1.5,0,101.3338983,30.3220339,27.77474576,7.446327684,6.926079665,307.4339266,0.520248019,CHI,7.5,0
0.033,72.9,L,0.113,0.033,-0.068,0.13,0.07,0.221,63.6,L,-0.038,-0.01,-0.008,0.186,-0.177,0.023,1,1,0.028,0.055,0.021,-0.091,0.095,0,16.4,20167GB-7.5CHI2610,0,2.15982242,-0.064742878,0.071772105,2.881058084,-4.16500185,0.226415094,0.339622642,0.156862745,1,1,1,3,-4.5,0.075471698,1,1,2.832430939,6.07679558,9.271270718,-3.194475138,15.48839779,0.806629834,36.2,234,2,0.8,86.30055249,22.63535912,23.26177901,6.464088398,6.513254505,242.4512265,-0.049166107,GB,-7.5,0
0.011,60.1,W,-0.005,-0.01,-0.012,0.108,0.095,-0.07,46.7,W,-0.06,-0.133,-0.033,0.024,-0.259,0.086,1,1,0.021,-0.07,-0.003,-0.006,0.018,0,0,20167NYG-3LARM1710,0,0.201704545,-0.281723485,0.15719697,-3.191761364,-4.427556818,0.171875,0.453125,0.196969697,1,1,1,0,-3,0.09375,1,0,2.512746781,5.440343348,7.855793991,-2.415450644,18.01802575,-0.948497854,38.83333333,298,1.333333333,1,88.7167382,25.84120172,25.84565236,7.673819742,7.643619575,304.2934421,0.030200168,NYG,-3,0
-0.07,46.7,W,-0.06,-0.133,-0.033,0.024,0.086,0.011,60.1,W,-0.005,-0.01,-0.012,0.108,-0.226,0.095,0,0,-0.07,0.021,0.05,-0.103,-0.038,0,12.16666667,20167LARM3NYG1017,0,-6.305048077,-0.352884615,-0.002163462,-2.419591346,0.712740385,0.169230769,0.538461538,0.265625,1,1,0,0,3,0.092307692,0,1,2.360434783,6.589673913,7.992391304,-1.402717391,26.08423913,-0.547282609,30.66666667,236.1666667,1.166666667,1,84.36141304,19.31521739,18.62105435,7.701086957,7.285299214,222.3782935,0.415787742,LAR,3,0
0.322,50.5,W,0.257,0.023,-0.188,0.399,-0.247,0.075,54,L,0.135,-0.02,-0.105,0.217,-0.07,-0.192,0,0,0.26,0.221,0.054,0.068,0.262,0,0,20167MIN-2.5PHI1021,0,1.579609401,0.611717974,-0.192982456,5.745614035,6.620986428,0.169811321,0.547169811,0.228070175,1,1,0,-8,-10.5,0,1,0,2.37864,6.664,7.828,-1.164,26.4256,-0.9768,31.25,247.5,1.5,0,109.7808,22.256,19.004544,7.92,7.085561049,223.02384,0.834438951,MIN,-2.5,0
0.075,54,L,0.135,-0.02,-0.105,0.217,-0.192,0.322,50.5,W,0.257,0.023,-0.188,0.399,-0.363,-0.247,1,1,0.221,0.26,0.056,0.068,0.218,0,2.8,20167PHI2.5MIN2110,0,1.216775599,1.018518519,-0.12745098,4.828976035,8.656862745,0.235294118,0.450980392,0.203703704,1,1,1,8,10.5,0.019607843,0,0,2.571847134,6.291082803,8.062420382,-1.77133758,26.75414013,-1.52866242,31.4,237.2,1.4,0.2,99.91146497,21.07006369,19.31268153,7.554140127,7.162593316,227.684465,0.391546812,PHI,2.5,0
0.144,66,W,-0.048,0.097,0.124,0.259,0.234,-0.038,50.8,W,0.088,-0.004,-0.073,0.128,-0.154,-0.113,1,1,-0.029,-0.059,-0.021,0.04,-0.079,0,4.6,20167NO6.5KC2127,0,-1.482142857,0.017857143,-0.053571429,1.133928571,-3.553571429,0.339285714,0.375,0.178571429,1,1,1,-14,-7.5,0.071428571,1,0,2.274444444,6.500888889,7.626222222,-1.125333333,17.77244444,-0.859111111,45,346.8,2.8,0.8,103.1048889,30.62222222,30.56437333,7.706666667,7.647343836,352.8954933,0.059322831,NO,6.5,0
-0.038,50.8,W,0.088,-0.004,-0.073,0.128,-0.113,0.144,66,W,-0.048,0.097,0.124,0.259,-0.049,0.234,0,0,-0.059,-0.029,0.02,-0.13,0.048,0,2.6,20167KC-6.5NO2721,0,-0.464285714,-0.125,-0.071428571,-5.678571429,-1.339285714,0.178571429,0.464285714,0.160714286,1,1,0,14,7.5,0.035714286,0,1,2.415947368,5.425789474,7.011578947,-1.585789474,18.42315789,-1.624210526,38,259.4,1,0.4,90.18894737,26.92105263,26.82581579,6.826315789,6.595618208,265.6673368,0.230697582,KC,-6.5,0
0.048,58,W,0.054,0.048,0.022,0.183,-0.011,0.132,70.1,W,-0.125,0.027,0.212,0.292,-0.161,0.476,0,0,0.143,-0.13,0.036,0.095,0.038,0,4.333333333,20167WAS1.5DET1720,0,3.91274458,0.095187731,-0.018244315,-0.593204654,1.192226335,0.209677419,0.35483871,0.180327869,1,1,0,0,1.5,0.096774194,1,0,2.726311111,7.195111111,9.132444444,-1.937333333,14.65644444,0.385777778,37.5,282.5,1.5,1,90.10577778,25.15555556,21.90862222,7.533333333,6.937228013,267.4918,0.59610532,WAS,1.5,0
0.132,70.1,W,-0.125,0.027,0.212,0.292,0.476,0.048,58,W,0.054,0.048,0.022,0.183,0.072,-0.011,1,1,-0.13,0.143,0.077,0.022,-0.266,0,14.66666667,20167DET-1.5WAS2017,0,-3.933333333,-0.226262626,0.01986532,-0.481313131,1.596296296,0.296296296,0.388888889,0.145454545,1,1,1,0,-1.5,0.074074074,0,1,2.525687204,5.592417062,7.523696682,-1.931279621,20.37488152,-1.689099526,35.16666667,272.5,2.166666667,0.666666667,103.4962085,24.56872038,21.93672986,7.748815166,7.096096502,257.7080711,0.652718663,DET,-1.5,0
